,Title,English,Type,Episodes,Status,Start_Aired,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users
471,Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,Sailor Moon SuperS the Movie Black Dream Hole,Movie,1.0,Finished Airing,1995,Toei Animation,Manga,Drama,Mahou Shoujo,Shoujo,60.0,PG-13 - Teens 13 or older,7.551,20515.0
472,InuYasha Movie 4: Guren no Houraijima,InuYasha the Movie 4 Fire on the Mystic Island,Movie,1.0,Finished Airing,2004,Sunrise,Manga,Action,Historical,Shounen,87.0,PG-13 - Teens 13 or older,7.551,46938.0
473,Dragon Ball Super: Super Hero,Dragon Ball Super Super Hero,Movie,1.0,Finished Airing,2022,Toei Animation,Manga,Action,Martial Arts,Shounen,99.0,PG-13 - Teens 13 or older,7.541,16355.0
474,Giant Killing,Giant Killing,TV,26.0,Finished Airing,2010,Studio Deen,Manga,Drama,Team Sports,Seinen,24.0,PG-13 - Teens 13 or older,7.541,33492.0
475,Isshuukan Friends.,One Week Friends,TV,12.0,Finished Airing,2014,Brain's Base,4-koma manga,Comedy,School,Shounen,23.0,PG-13 - Teens 13 or older,7.541,139691.0
476,Kimagure Orange☆Road,Kimagure Orange Road,TV,48.0,Finished Airing,1987,Pierrot,Manga,Comedy,School,Shounen,25.0,PG-13 - Teens 13 or older,7.541,11750.0
477,Konjiki no Gash Bell!!,Zatch Bell!,TV,150.0,Finished Airing,2003,Toei Animation,Manga,Adventure,Mythology,Shounen,23.0,PG-13 - Teens 13 or older,7.541,56822.0
478,Kuroko no Basket: Baka ja Katenai no yo!,Kuroko's Basketball OVA,OVA,1.0,Finished Airing,2013,Production I.G,Manga,Sports,School,Shounen,23.0,PG-13 - Teens 13 or older,7.541,25668.0
479,Mashiro no Oto,Those Snow White Notes,TV,12.0,Finished Airing,2021,Shin-Ei Animation,Manga,Drama,Music,Shounen,24.0,PG-13 - Teens 13 or older,7.541,53437.0
480,Taiho Shichau zo (TV),You're Under Arrest (1996),TV,47.0,Finished Airing,1996,Studio Deen,Manga,Action,Adult Cast,Seinen,24.0,PG-13 - Teens 13 or older,7.531,8823.0
481,Amaama to Inazuma,Sweetness & Lightning,TV,12.0,Finished Airing,2016,TMS Entertainment,Manga,Comedy,Childcare,Seinen,24.0,PG-13 - Teens 13 or older,7.531,128934.0
482,Baki: Dai Raitaisai-hen,Baki The Great Raitai Tournament Saga,ONA,13.0,Finished Airing,2020,TMS Entertainment,Manga,Action,Combat Sports,Shounen,24.0,R - 17+ (violence & profanity),7.531,95310.0
483,Drifters (OVA),Drifters,OVA,2.0,Finished Airing,2017,Hoods Drifters Studio,Manga,Action,Adult Cast,Seinen,26.0,R - 17+ (violence & profanity),7.531,24897.0
484,Haikyuu!! Tokushuu! Haru-kou Volley ni Kaketa Seishun,Haikyuu!! Special Feature! The Spring Tournament of Their Youth,OVA,1.0,Finished Airing,2017,Production I.G,Manga,Sports,School,Shounen,23.0,PG-13 - Teens 13 or older,7.531,9881.0
485,Hataraku Saibou Black,Cells at Work! CODE BLACK!,TV,13.0,Finished Airing,2021,LIDENFILMS,Manga,Action,Anthropomorphic,Seinen,23.0,PG-13 - Teens 13 or older,7.531,67819.0
486,Hayate no Gotoku!,Hayate the Combat Butler,TV,52.0,Finished Airing,2007,SynergySP,Manga,Action,Harem,Shounen,24.0,PG-13 - Teens 13 or older,7.531,94211.0
487,D-Frag!,D-Frag!,TV,12.0,Finished Airing,2014,Brain's Base,Manga,Comedy,School,Seinen,24.0,PG-13 - Teens 13 or older,7.521,188766.0
488,Dragon Ball Kai: Mirai ni Heiwa wo! Goku no Tamashii yo Eien ni,Dragon Ball Z Kai Bring Peace to the Future! Goku's Spirit is Eternal,Special,1.0,Finished Airing,2011,Toei Animation,Manga,Action,Super Power,Shounen,23.0,PG-13 - Teens 13 or older,7.521,24996.0
489,Fullmetal Alchemist: The Conqueror of Shamballa,Fullmetal Alchemist The Movie - Conqueror of Shamballa,Movie,1.0,Finished Airing,2005,Bones,Manga,Comedy,Historical,Shounen,104.0,R - 17+ (violence & profanity),7.521,197776.0
490,Golgo 13 (TV),Golgo 13,TV,50.0,Finished Airing,2008,The Answer Studio,Manga,Action,Adult Cast,Seinen,24.0,R+ - Mild Nudity,7.521,10894.0
491,"Kuroshitsuji: Sono Shitsuji, Kougyou",Black Butler Special,Special,1.0,Finished Airing,2009,A-1 Pictures,Manga,Comedy,Historical,Shounen,26.0,PG-13 - Teens 13 or older,7.521,55741.0
492,Macross Zero,Macross Zero,OVA,5.0,Finished Airing,2002,Satelight,Original,Adventure,Mecha,Shounen,30.0,R+ - Mild Nudity,7.521,18497.0
493,Magic Knight Rayearth II,Magic Knight Rayearth II,TV,29.0,Finished Airing,1995,TMS Entertainment,Manga,Adventure,Isekai,Shoujo,24.0,PG-13 - Teens 13 or older,7.511,15751.0
494,Special A,Special A (S.A),TV,24.0,Finished Airing,2008,"Gonzo, AIC",Manga,Comedy,School,Shoujo,24.0,PG-13 - Teens 13 or older,7.511,178307.0
495,Ao no Exorcist,Blue Exorcist,TV,25.0,Finished Airing,2011,A-1 Pictures,Manga,Action,Mythology,Shounen,24.0,PG-13 - Teens 13 or older,7.511,77132.0
496,Flying Witch,Flying Witch,TV,12.0,Finished Airing,2016,J.C.Staff,Manga,Comedy,Iyashikei,Shounen,23.0,PG-13 - Teens 13 or older,7.511,100469.0
497,Karakai Jouzu no Takagi-san: Water Slide,Teasing Master Takagi-san Water Slide,OVA,1.0,Finished Airing,2018,Shin-Ei Animation,Manga,Comedy,Iyashikei,Shounen,23.0,PG-13 - Teens 13 or older,7.511,44391.0
498,Konohana Kitan,Konohana Kitan,TV,12.0,Finished Airing,2017,Lerche,Manga,Fantasy,Anthropomorphic,Seinen,23.0,PG-13 - Teens 13 or older,7.511,46599.0
499,Shingeki no Kyojin Season 3 Specials,"Attack on Titan Chibi Theater - Survey Corps, Levi Squad!",Special,7.0,Finished Airing,2018,Studio Moriken,Manga,Comedy,Parody,Shounen,2.0,G - All Ages,7.501,8222.0
500,Tasogare Otome x Amnesia: Taima Otome,Dusk Maiden of Amnesia Ghost Girl,Special,1.0,Finished Airing,2012,SILVER LINK.,Manga,Horror,School,Shounen,24.0,R - 17+ (violence & profanity),7.501,42105.0
501,Arslan Senki (TV): Fuujin Ranbu,The Heroic Legend of Arslan Dust Storm Dance,TV,8.0,Finished Airing,2016,LIDENFILMS,Manga,Action,Historical,Shounen,24.0,PG-13 - Teens 13 or older,7.501,73302.0
502,Bishoujo Senshi Sailor Moon Eternal Movie 1,Pretty Guardian Sailor Moon Eternal The Movie Part 1,Movie,1.0,Finished Airing,2021,"Toei Animation, Studio Deen",Manga,Romance,Mahou Shoujo,Shoujo,81.0,PG-13 - Teens 13 or older,7.501,8926.0
503,Elfen Lied,Elfen Lied,TV,13.0,Finished Airing,2004,Arms,Manga,Action,Gore,Seinen,25.0,R+ - Mild Nudity,7.501,825448.0
504,Hello!! Kiniro Mosaic,Hello!! KINMOZA!,TV,12.0,Finished Airing,2015,Studio Gokumi,4-koma manga,Comedy,CGDCT,Seinen,23.0,PG-13 - Teens 13 or older,7.501,35799.0
505,Kappa no Coo to Natsuyasumi,Summer Days with Coo,Movie,1.0,Finished Airing,2007,Shin-Ei Animation,Original,Adventure,Mythology,Shounen,141.0,PG - Children,7.501,6996.0
506,Kidou Senkan Nadesico,Martian Successor Nadesico,TV,26.0,Finished Airing,1996,Xebec,Original,Action,Mecha,Shounen,23.0,PG-13 - Teens 13 or older,7.501,18790.0
