,Title,English,Type,Episodes,Status,Start_Aired,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users
708,Young Black Jack,Young Black Jack,TV,12.0,Finished Airing,2015,Tezuka Productions,Manga,Drama,Historical,Seinen,24.0,PG-13 - Teens 13 or older,7.221,34189.0
709,Ginga e Kickoff!!,Victory Kickoff!!,TV,39.0,Finished Airing,2012,TYO Animations,Novel,Sports,Team Sports,Shounen,25.0,PG - Children,7.211,11086.0
710,Kyou no 5 no 2,Today in Class 5-2,OVA,4.0,Finished Airing,2006,"Shinkuukan, Lilix",Manga,Comedy,School,Seinen,29.0,PG-13 - Teens 13 or older,7.211,14061.0
711,Mahoutsukai Precure!,Maho Girls Precure!,TV,50.0,Finished Airing,2016,Toei Animation,Original,Action,Mahou Shoujo,Shoujo,24.0,G - All Ages,7.211,3806.0
712,Saiyuuki Reload Blast,Saiyuki Reload Blast,TV,12.0,Finished Airing,2017,Platinum Vision,Manga,Action,Mythology,Josei,23.0,PG-13 - Teens 13 or older,7.211,11886.0
713,Tatakau Shisho: The Book of Bantorra,Armed Librarians The Book of Bantorra,TV,27.0,Finished Airing,2009,David Production,Light novel,Action,Super Power,Seinen,24.0,R - 17+ (violence & profanity),7.211,16610.0
714,"Tokyo Ghoul: ""Pinto""",Tokyo Ghoul Pinto,OVA,1.0,Finished Airing,2015,Pierrot,Light novel,Action,Gore,Seinen,24.0,R - 17+ (violence & profanity),7.211,110749.0
715,07-Ghost,07-Ghost,TV,25.0,Finished Airing,2009,Studio Deen,Manga,Action,Military,Josei,23.0,PG-13 - Teens 13 or older,7.201,101480.0
716,Dragon Ball: Episode of Bardock,Dragon Ball Episode of Bardock,Special,1.0,Finished Airing,2011,Toei Animation,Manga,Action,Martial Arts,Shounen,19.0,PG-13 - Teens 13 or older,7.201,67450.0
717,"Inari, Konkon, Koi Iroha.",Inari Kon Kon,TV,10.0,Finished Airing,2014,Production IMS,Manga,Comedy,School,Seinen,24.0,PG-13 - Teens 13 or older,7.201,61684.0
718,JoJo no Kimyou na Bouken: Adventure,JoJo's Bizarre Adventure (OVA),OVA,7.0,Finished Airing,2000,APPP,Manga,Adventure,Vampire,Shounen,30.0,R+ - Mild Nudity,7.201,32749.0
719,Kakkou no Iinazuke,A Couple of Cuckoos,TV,24.0,Currently Airing,2022,"SynergySP, Shin-Ei Animation",Manga,Comedy,Harem,Shounen,23.0,PG-13 - Teens 13 or older,7.201,38226.0
720,Kimi no Iru Machi: Tasogare Kousaten,A Town Where You Live Crossing at Twilight,OVA,2.0,Finished Airing,2012,Tatsunoko Production,Manga,Drama,School,Shounen,24.0,R+ - Mild Nudity,7.201,18864.0
721,Kono Bijutsubu ni wa Mondai ga Aru!,This Art Club Has a Problem!,TV,12.0,Finished Airing,2016,feel.,Manga,Comedy,School,Seinen,24.0,PG-13 - Teens 13 or older,7.201,118972.0
722,Aoharu x Kikanjuu: Kemono-tachi no Senjou da na!,Aoharu x Machinegun This is a Battlefield for Beasts!,Special,1.0,Finished Airing,2015,Brain's Base,Manga,Comedy,Crossdressing,Shounen,24.0,PG-13 - Teens 13 or older,7.191,17900.0
723,Ayashi no Ceres,"Ceres, Celestial Legend",TV,24.0,Finished Airing,2000,Pierrot,Manga,Adventure,Psychological,Shoujo,21.0,R - 17+ (violence & profanity),7.191,26821.0
724,Cyborg 009 (1979),Cyborg 009,TV,50.0,Finished Airing,1979,Toei Animation,Manga,Action,Mecha,Shounen,24.0,PG-13 - Teens 13 or older,7.191,2928.0
725,Denki-gai no Honya-san,Denki-gai,TV,12.0,Finished Airing,2014,Shin-Ei Animation,Manga,Comedy,Workplace,Seinen,23.0,PG-13 - Teens 13 or older,7.191,50646.0
726,Hakozume: Kouban Joshi no Gyakushuu,Police in a Pod,TV,13.0,Finished Airing,2022,Madhouse,Manga,Comedy,Adult Cast,Seinen,23.0,PG-13 - Teens 13 or older,7.191,18681.0
727,Kuroshitsuji Recap,Black Butler The Story Thus Far,Special,1.0,Finished Airing,2009,A-1 Pictures,Manga,Action,Historical,Shounen,24.0,PG-13 - Teens 13 or older,7.191,15223.0
728,Yuu☆Yuu☆Hakusho: Meikai Shitou-hen - Honoo no Kizuna,Yu Yu Hakusho the Movie Poltergeist Report,Movie,1.0,Finished Airing,1994,Pierrot,Manga,Action,Martial Arts,Shounen,94.0,PG-13 - Teens 13 or older,7.191,12893.0
729,Munou na Nana,Talentless Nana,TV,13.0,Finished Airing,2020,Bridge,Manga,Supernatural,Psychological,Shounen,23.0,R - 17+ (violence & profanity),7.191,140069.0
730,One Piece Film: Gold Episode 0 - 711 ver.,ONE PIECE FILM GOLD 〜episode 0〜 711ver.,Special,1.0,Finished Airing,2016,Toei Animation,Manga,Action,Super Power,Shounen,10.0,PG-13 - Teens 13 or older,7.191,11185.0
731,Shingeki! Kyojin Chuugakkou,Attack on Titan Junior High,TV,12.0,Finished Airing,2015,Production I.G,Manga,Comedy,Parody,Shounen,17.0,PG-13 - Teens 13 or older,7.191,131396.0
732,Star Driver: Kagayaki no Takuto,Star Driver,TV,25.0,Finished Airing,2010,Bones,Original,Action,Mecha,Shounen,25.0,PG-13 - Teens 13 or older,7.191,43990.0
733,Taiho Shichau zo: Full Throttle,You're Under Arrest Full Throttle,TV,23.0,Finished Airing,2007,Studio Deen,Manga,Action,Adult Cast,Shounen,24.0,PG-13 - Teens 13 or older,7.191,3134.0
734,Uta no☆Prince-sama♪ Maji Love 2000%,Uta no Prince Sama 2,TV,13.0,Finished Airing,2013,A-1 Pictures,Visual novel,Comedy,Idols (Male),Shoujo,25.0,PG-13 - Teens 13 or older,7.191,53862.0
735,Wagaya no Oinari-sama.,Our Home's Fox Deity,TV,24.0,Finished Airing,2008,Zexcs,Light novel,Adventure,Magical Sex Shift,Shounen,24.0,PG-13 - Teens 13 or older,7.191,11672.0
736,Lupin III: Part 6,LUPIN THE 3rd PART 6,TV,24.0,Finished Airing,2021,TMS Entertainment,Manga,Action,Adult Cast,Seinen,23.0,PG-13 - Teens 13 or older,7.181,3976.0
737,Madou King Granzort,Mado King Granzort,TV,41.0,Finished Airing,1989,Sunrise,Original,Action,Mecha,Shounen,24.0,G - All Ages,7.181,706.0
738,Owari no Seraph: Kyuuketsuki Shahar,Seraph of the End Vampire Shahar,OVA,1.0,Finished Airing,2016,Wit Studio,Manga,Action,Military,Shounen,23.0,R - 17+ (violence & profanity),7.181,32485.0
739,Phi Brain: Kami no Puzzle,Phi-Brain ~ Puzzle of God,TV,25.0,Finished Airing,2011,Sunrise,Original,Action,High Stakes Game,Shounen,25.0,PG-13 - Teens 13 or older,7.181,43323.0
740,Yes! Precure 5,Yes! Precure 5,TV,49.0,Finished Airing,2007,Toei Animation,Original,Action,Mahou Shoujo,Shoujo,24.0,G - All Ages,7.181,6253.0
741,Area no Kishi,The Knight in the Area,TV,37.0,Finished Airing,2012,Shin-Ei Animation,Manga,Comedy,School,Shounen,25.0,PG-13 - Teens 13 or older,7.181,33525.0
742,Arte,Arte,TV,12.0,Finished Airing,2020,Seven Arcs,Manga,Drama,Historical,Seinen,24.0,PG-13 - Teens 13 or older,7.181,50800.0
743,Hiiro no Kakera 2,Hiiro no Kakera The Tamayori Princess Saga Season 2,TV,13.0,Finished Airing,2012,Studio Deen,Visual novel,Fantasy,Reverse Harem,Shoujo,24.0,PG-13 - Teens 13 or older,7.181,24252.0
744,Yu☆Gi☆Oh!: Duel Monsters GX,Yu-Gi-Oh! GX,TV,180.0,Finished Airing,2004,Gallop,Manga,Action,Strategy Game,Shounen,23.0,PG-13 - Teens 13 or older,7.181,125854.0
745,Shin Shirayuki-hime Densetsu Prétear,Prétear The New Legend of Snow White,TV,13.0,Finished Airing,2001,Hal Film Maker,Manga,Comedy,Mahou Shoujo,Shoujo,23.0,PG-13 - Teens 13 or older,7.171,27571.0
746,Vandread,Vandread,TV,13.0,Finished Airing,2000,Gonzo,Original,Action,Mecha,Shounen,22.0,PG-13 - Teens 13 or older,7.171,42376.0
747,ACCA: 13-ku Kansatsu-ka - Regards,ACCA 13-Territory Inspection Department - Regards,OVA,1.0,Finished Airing,2020,Madhouse,Manga,Drama,Detective,Seinen,47.0,PG-13 - Teens 13 or older,7.171,5885.0
748,D.N.Angel,D.N.Angel,TV,26.0,Finished Airing,2003,Xebec,Manga,Action,School,Shoujo,23.0,PG-13 - Teens 13 or older,7.171,96850.0
749,Irregular Hunter X: The Day of Sigma,Megaman X - The Day of Sigma,OVA,1.0,Finished Airing,2005,Xebec,Game,Action,Mecha,Shounen,30.0,PG - Children,7.171,6038.0
750,Joukamachi no Dandelion,Castle Town Dandelion,TV,12.0,Finished Airing,2015,Production IMS,4-koma manga,Comedy,Super Power,Seinen,24.0,PG-13 - Teens 13 or older,7.171,61822.0
751,Kujira no Kora wa Sajou ni Utau,Children of the Whales,TV,12.0,Finished Airing,2017,J.C.Staff,Manga,Drama,Super Power,Shoujo,23.0,PG-13 - Teens 13 or older,7.171,96878.0
752,Kuzu no Honkai,Scum's Wish,TV,12.0,Finished Airing,2017,Lerche,Manga,Drama,School,Seinen,22.0,R+ - Mild Nudity,7.171,304248.0
753,Aoharu x Kikanjuu,Aoharu x Machinegun,TV,12.0,Finished Airing,2015,Brain's Base,Manga,Sports,Crossdressing,Shounen,24.0,PG-13 - Teens 13 or older,7.161,98809.0
754,Boku no Hero Academia: Ikinokore! Kesshi no Survival Kunren,My Hero Academia Make It! Do-or-Die Survival Training,ONA,2.0,Finished Airing,2020,Bones,Manga,Action,School,Shounen,23.0,PG-13 - Teens 13 or older,7.161,78121.0
755,Chuukan Kanriroku Tonegawa,Mr. Tonegawa Middle Management Blues,TV,24.0,Finished Airing,2018,Madhouse,Manga,Comedy,Adult Cast,Seinen,23.0,PG-13 - Teens 13 or older,7.161,12667.0
756,Days (TV),Days,TV,24.0,Finished Airing,2016,MAPPA,Manga,Sports,School,Shounen,24.0,PG-13 - Teens 13 or older,7.161,63447.0
757,Deadman Wonderland,Deadman Wonderland,TV,12.0,Finished Airing,2011,Manglobe,Manga,Action,Gore,Shounen,24.0,R - 17+ (violence & profanity),7.161,644901.0
758,Kai Byoui Ramune,Dr. Ramune -Mysterious Disease Specialist-,TV,12.0,Finished Airing,2021,Platinum Vision,Manga,Supernatural,Medical,Shounen,23.0,PG-13 - Teens 13 or older,7.161,27259.0
759,Kuroshitsuji II,Black Butler II,TV,12.0,Finished Airing,2010,A-1 Pictures,Manga,Action,Historical,Shounen,24.0,R - 17+ (violence & profanity),7.161,302093.0
760,Naruto: Honoo no Chuunin Shiken! Naruto vs. Konohamaru!!,Naruto Shippuden Chunin Exam on Fire! and Naruto vs. Konohamaru!,Movie,1.0,Finished Airing,2011,Pierrot,Manga,Action,Martial Arts,Shounen,14.0,PG-13 - Teens 13 or older,7.161,38298.0
761,Pokemon Movie 21: Minna no Monogatari,Pokémon the Movie The Power of Us,Movie,1.0,Finished Airing,2018,"OLM, Wit Studio",Game,Action,Strategy Game,Kids,105.0,PG - Children,7.161,18727.0
762,Street Fighter II Movie,Street Fighter II The Animated Movie,Movie,1.0,Finished Airing,1994,Group TAC,Game,Action,Martial Arts,Shounen,101.0,R+ - Mild Nudity,7.161,17720.0
763,Tenchi Souzou Design-bu,Heaven's Design Team,TV,12.0,Finished Airing,2021,Asahi Production,Manga,Comedy,Gag Humor,Seinen,23.0,PG-13 - Teens 13 or older,7.161,28502.0
764,Ultra Maniac,Ultra Maniac,TV,26.0,Finished Airing,2003,Production Reed,Manga,Comedy,School,Shoujo,24.0,G - All Ages,7.151,13255.0
765,Uta no☆Prince-sama♪ Maji Love Legend Star,Uta no Prince Sama Legend Star,TV,13.0,Finished Airing,2016,A-1 Pictures,Visual novel,Comedy,Idols (Male),Shoujo,24.0,PG-13 - Teens 13 or older,7.151,14037.0
766,Digimon Frontier,Digimon Frontier,TV,50.0,Finished Airing,2002,Toei Animation,Original,Action,Isekai,Shounen,23.0,PG - Children,7.151,91719.0
767,Dr. Stone: Stone Wars - Kaisen Zenya Special Eizou,Dr. Stone Stone Wars Eve of the Battle Special Feature,Special,1.0,Finished Airing,2020,TMS Entertainment,Manga,Adventure,Survival,Shounen,22.0,PG-13 - Teens 13 or older,7.151,19631.0
768,"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer",Elfen Lied In the Passing Rain,Special,1.0,Finished Airing,2005,Arms,Manga,Drama,Gore,Seinen,25.0,R+ - Mild Nudity,7.151,109747.0
769,Fushigi Yuugi OVA,Mysterious Play OVA,OVA,3.0,Finished Airing,1996,Pierrot,Manga,Adventure,Historical,Shoujo,28.0,PG-13 - Teens 13 or older,7.151,11681.0
770,Hayate no Gotoku! Heaven Is a Place on Earth,Hayate the Combat Butler! Movie,Movie,1.0,Finished Airing,2011,Manglobe,Manga,Comedy,Harem,Shounen,69.0,PG-13 - Teens 13 or older,7.151,17401.0
771,Kenran Butou Sai: The Mars Daybreak,Mars Daybreak,TV,26.0,Finished Airing,2004,Bones,Original,Adventure,Mecha,Shounen,23.0,PG-13 - Teens 13 or older,7.151,7546.0
772,Kyoukai no Rinne 2nd Season,RIN-NE,TV,25.0,Finished Airing,2016,Brain's Base,Manga,Comedy,School,Shounen,24.0,PG-13 - Teens 13 or older,7.151,13043.0
773,Kyuuketsuhime Miyu (TV),Vampire Princess Miyu,TV,26.0,Finished Airing,1997,AIC,Manga,Action,Mythology,Shoujo,25.0,R - 17+ (violence & profanity),7.151,11656.0
774,Aku no Hana,Flowers of Evil,TV,13.0,Finished Airing,2013,Zexcs,Manga,Drama,Psychological,Shounen,24.0,R - 17+ (violence & profanity),7.141,73427.0
775,Kurokami The Animation,Kurokami The Animation,TV,23.0,Finished Airing,2009,Sunrise,Manga,Action,Martial Arts,Seinen,23.0,R - 17+ (violence & profanity),7.141,43598.0
776,Mahou no Stage Fancy Lala,Magical Stage Fancy Lala,TV,26.0,Finished Airing,1998,Pierrot,Original,Comedy,Idols (Female),Shoujo,24.0,G - All Ages,7.141,3753.0
777,"Naruto: Shippuuden - Shippuu! ""Konoha Gakuen"" Den",Naruto Shippuden Konoha Gakuen - Special,Special,1.0,Finished Airing,2008,Pierrot,Manga,Action,Martial Arts,Shounen,8.0,PG-13 - Teens 13 or older,7.141,30637.0
778,"Shounen Maid: Onna wa Dokyou, Otoko wa Aikyou?","Shounen Maid Episode 8.5 Women Should Be Brave, & Men Should Be Winsome?",OVA,1.0,Finished Airing,2016,8bit,Manga,Comedy,Iyashikei,Shoujo,24.0,PG - Children,7.141,1848.0
779,Cardfight!! Vanguard: Link Joker-hen,Cardfight!! Vanguard Link Joker,TV,59.0,Finished Airing,2013,TMS Entertainment,Original,Action,Mythology,Shounen,24.0,PG-13 - Teens 13 or older,7.131,11240.0
780,Ginga Kikoutai Majestic Prince Movie: Kakusei no Idenshi,Majestic Prince The Movie Genetic Awakening,Movie,1.0,Finished Airing,2016,"Orange, Seven Arcs Pictures",Manga,Action,Mecha,Seinen,77.0,PG-13 - Teens 13 or older,7.131,2203.0
781,Monster Musume no Iru Nichijou OVA,Monster Musume Everyday Life with Monster Girls OVA,OVA,2.0,Finished Airing,2016,Lerche,Manga,Comedy,Harem,Seinen,24.0,R+ - Mild Nudity,7.131,52963.0
782,Rockman.EXE Axess,MegaMan Axess,TV,51.0,Finished Airing,2003,Xebec,Game,Action,Mecha,Shounen,24.0,PG - Children,7.131,7973.0
783,Tetsuwan Atom (1980),Astro Boy (1980),TV,52.0,Finished Airing,1980,Tezuka Productions,Manga,Action,Mecha,Shounen,24.0,G - All Ages,7.131,5432.0
784,Lupin III: Dead or Alive,Lupin III Dead or Alive,Movie,1.0,Finished Airing,1996,Tokyo Movie Shinsha,Manga,Action,Adult Cast,Seinen,97.0,PG-13 - Teens 13 or older,7.121,4356.0
785,Mermaid Melody Pichi Pichi Pitch,Mermaid Melody Pichi Pichi Pitch,TV,52.0,Finished Airing,2003,"Actas, SynergySP",Manga,Adventure,Mahou Shoujo,Shoujo,24.0,PG - Children,7.121,38708.0
786,Urara Meirochou,Urara Meirocho,TV,12.0,Finished Airing,2017,J.C.Staff,4-koma manga,Comedy,CGDCT,Seinen,24.0,PG-13 - Teens 13 or older,7.121,39304.0
787,Yu☆Gi☆Oh! Movie: Chou Yuugou! Toki wo Koeta Kizuna,Yu-Gi-Oh! 3D Bonds Beyond Time,Movie,1.0,Finished Airing,2010,Gallop,Manga,Adventure,Strategy Game,Shounen,49.0,PG-13 - Teens 13 or older,7.121,28109.0
788,Ai Yori Aoshi: Enishi,Ai Yori Aoshi Enishi,TV,12.0,Finished Airing,2003,J.C.Staff,Manga,Comedy,Harem,Seinen,23.0,PG-13 - Teens 13 or older,7.121,31538.0
789,Blood Lad: Wagahai wa Neko de wa Nai,Blood Lad OVA,OVA,1.0,Finished Airing,2013,Brain's Base,Manga,Action,Delinquents,Seinen,27.0,PG-13 - Teens 13 or older,7.121,56752.0
790,Dragon Ball Movie 4: Saikyou e no Michi,Dragon Ball The Path to Power,Movie,1.0,Finished Airing,1996,Toei Animation,Manga,Action,Super Power,Shounen,74.0,PG-13 - Teens 13 or older,7.121,30099.0
791,Himouto! Umaru-chan,Himouto! Umaru-chan,TV,12.0,Finished Airing,2015,Doga Kobo,Manga,Comedy,Otaku Culture,Seinen,24.0,PG-13 - Teens 13 or older,7.121,355943.0
792,Junketsu no Maria,Maria the Virgin Witch,TV,12.0,Finished Airing,2015,Production I.G,Manga,Comedy,Historical,Seinen,24.0,R - 17+ (violence & profanity),7.121,62261.0
793,Karin,Karin,TV,24.0,Finished Airing,2005,J.C.Staff,Manga,Comedy,School,Shounen,23.0,PG-13 - Teens 13 or older,7.121,89805.0
794,Kenyuu Densetsu Yaiba,Legendary Brave Swordsman Yaiba,TV,52.0,Finished Airing,1993,Pastel,Manga,Action,Martial Arts,Shounen,22.0,PG-13 - Teens 13 or older,7.121,3948.0
795,Ai Yori Aoshi,Ai Yori Aoshi,TV,24.0,Finished Airing,2002,J.C.Staff,Manga,Comedy,Harem,Seinen,23.0,PG-13 - Teens 13 or older,7.111,51975.0
796,Black Blood Brothers,Black Blood Brothers,TV,12.0,Finished Airing,2006,Group TAC,Light novel,Action,Vampire,Shounen,25.0,R - 17+ (violence & profanity),7.111,53848.0
797,Happy Birthday: Inochi Kagayaku Toki,Re-Birthday,Movie,1.0,Finished Airing,1999,Magic Bus,Book,Drama,Iyashikei,Kids,79.0,G - All Ages,7.111,1282.0
798,Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsukisusumu,Vermeil in Gold,TV,12.0,Finished Airing,2022,Staple Entertainment,Manga,Fantasy,School,Shounen,24.0,PG-13 - Teens 13 or older,7.111,26941.0
799,Love Hina,Love Hina,TV,24.0,Finished Airing,2000,Xebec,Manga,Comedy,Harem,Shounen,23.0,PG-13 - Teens 13 or older,7.111,131422.0
800,Mangaka-san to Assistant-san to The Animation,The Comic Artist and His Assistants,TV,12.0,Finished Airing,2014,Zexcs,Manga,Comedy,Harem,Seinen,13.0,PG-13 - Teens 13 or older,7.111,124727.0
801,Rurouni Kenshin: Meiji Kenkaku Romantan - Shin Kyoto-hen,Rurouni Kenshin New Kyoto Arc,OVA,2.0,Finished Airing,2011,Studio Deen,Manga,Action,Historical,Shounen,46.0,R - 17+ (violence & profanity),7.111,11869.0
802,Vampire Knight: Guilty,Vampire Knight Guilty,TV,13.0,Finished Airing,2008,Studio Deen,Manga,Drama,Love Polygon,Shoujo,24.0,PG-13 - Teens 13 or older,7.111,214737.0
803,Muteki Kanban Musume,Ramen Fighter Miki,TV,12.0,Finished Airing,2006,Telecom Animation Film,Manga,Action,Martial Arts,Shounen,24.0,PG-13 - Teens 13 or older,7.091,7789.0
804,Senkaiden Houshin Engi,Soul Hunter,TV,26.0,Finished Airing,1999,Studio Deen,Manga,Adventure,Historical,Shounen,24.0,PG-13 - Teens 13 or older,7.091,6891.0
805,Black Cat (TV): Toozakaru Neko,Black Cat Special,Special,1.0,Finished Airing,2006,Gonzo,Manga,Action,Super Power,Shounen,24.0,PG-13 - Teens 13 or older,7.091,9460.0
806,Bishoujo Senshi Sailor Moon Crystal,Pretty Guardian Sailor Moon Crystal,ONA,26.0,Finished Airing,2014,Toei Animation,Manga,Romance,Mahou Shoujo,Shoujo,24.0,PG-13 - Teens 13 or older,7.081,60828.0
807,Highschool of the Dead,High School of the Dead,TV,12.0,Finished Airing,2010,Madhouse,Manga,Action,Gore,Shounen,24.0,R+ - Mild Nudity,7.081,878223.0
808,IGPX: Immortal Grand Prix (2005),IGPX Immortal Grand Prix,TV,13.0,Finished Airing,2005,Production I.G,Original,Action,Mecha,Shounen,23.0,PG-13 - Teens 13 or older,7.081,8107.0
809,Ryuusei no Rockman,Megaman Star Force,TV,55.0,Finished Airing,2006,Xebec,Game,Action,Strategy Game,Shounen,10.0,PG - Children,7.081,5556.0
810,Shachiku-san wa Youjo Yuurei ni Iyasaretai.,Miss Shachiku and the Little Baby Ghost,TV,12.0,Finished Airing,2022,Project No.9,Manga,Comedy,Workplace,Shounen,23.0,PG-13 - Teens 13 or older,7.081,9459.0
811,Trinity Seven,Trinity Seven,TV,12.0,Finished Airing,2014,Seven Arcs Pictures,Manga,Action,Harem,Shounen,24.0,PG-13 - Teens 13 or older,7.081,429546.0
812,Tetsuwan Atom,Astro Boy,TV,193.0,Finished Airing,1963,Mushi Production,Manga,Action,Mecha,Shounen,26.0,PG - Children,7.071,3933.0
813,Yuugo: Koushounin,Yugo The Negotiator,TV,13.0,Finished Airing,2004,Artland,Manga,Action,Military,Seinen,24.0,R - 17+ (violence & profanity),7.071,3417.0
814,Anime Himitsu no Hanazono,The Secret Garden,TV,39.0,Finished Airing,1991,Gakken,Book,Drama,Historical,Kids,25.0,G - All Ages,7.071,2409.0
815,Dual! Parallel Lun-Lun Monogatari,Dual! Parallel Trouble Adventure,TV,13.0,Finished Airing,1999,AIC,Original,Action,Harem,Shounen,25.0,PG-13 - Teens 13 or older,7.071,8184.0
816,Gunnm,Battle Angel Alita,OVA,2.0,Finished Airing,1993,Madhouse,Manga,Drama,Mecha,Shounen,30.0,R+ - Mild Nudity,7.071,26156.0
817,Haikara-san ga Tooru,Smart-san,TV,42.0,Finished Airing,1978,Nippon Animation,Manga,Drama,Historical,Shoujo,24.0,PG-13 - Teens 13 or older,7.071,760.0
818,Kikoushi Enma,Demon Prince Enma,OVA,4.0,Finished Airing,2006,Brain's Base,Manga,Fantasy,Mythology,Seinen,40.0,R+ - Mild Nudity,7.071,6824.0
819,Escaflowne,Escaflowne A Girl in Gaea,Movie,1.0,Finished Airing,2000,"Bones, Sunrise",Original,Adventure,Isekai,Shoujo,97.0,PG-13 - Teens 13 or older,7.061,30158.0
820,Kyoukai no Rinne 3rd Season,RIN-NE,TV,25.0,Finished Airing,2017,Brain's Base,Manga,Comedy,School,Shounen,24.0,PG-13 - Teens 13 or older,7.061,7210.0
821,Ookami Shoujo to Kuro Ouji,Wolf Girl & Black Prince,TV,12.0,Finished Airing,2014,TYO Animations,Manga,Comedy,School,Shoujo,24.0,PG-13 - Teens 13 or older,7.061,237669.0
822,Sora no Manimani,At The Mercy of The Sky,TV,12.0,Finished Airing,2009,Studio Comet,Manga,Comedy,School,Seinen,23.0,PG-13 - Teens 13 or older,7.061,16849.0
823,Yoroiden Samurai Troopers,Ronin Warriors,TV,39.0,Finished Airing,1988,Sunrise,Original,Adventure,Samurai,Shounen,23.0,PG-13 - Teens 13 or older,7.061,8885.0
824,Yuri Kuma Arashi,Yurikuma Arashi,TV,12.0,Finished Airing,2015,"SILVER LINK., Lapin Track",Original,Drama,Psychological,Seinen,24.0,R - 17+ (violence & profanity),7.051,32652.0
825,All Out!!,All Out!!,TV,25.0,Finished Airing,2016,"Madhouse, TMS Entertainment",Manga,Sports,School,Seinen,24.0,PG-13 - Teens 13 or older,7.051,46589.0
826,"Dragon Ball Z Movie 15: Fukkatsu no ""F""",Dragon Ball Z Resurrection 'F',Movie,1.0,Finished Airing,2015,Toei Animation,Manga,Action,Martial Arts,Shounen,107.0,PG-13 - Teens 13 or older,7.051,109124.0
827,Futari wa Precure,Pretty Cure,TV,49.0,Finished Airing,2004,Toei Animation,Original,Action,Mahou Shoujo,Shoujo,24.0,G - All Ages,7.051,17357.0
828,Hidamari no Ki,Tree in the Sun,TV,25.0,Finished Airing,2000,Madhouse,Manga,Action,Historical,Seinen,23.0,R+ - Mild Nudity,7.051,534.0
829,Kirarin☆Revolution,Kirarin Revolution,TV,153.0,Finished Airing,2006,"SynergySP, G&G Entertainment",Manga,Comedy,Showbiz,Shoujo,22.0,PG-13 - Teens 13 or older,7.051,12610.0
830,Tenjou Tenge: The Past Chapter,TenjhoTenge The Past Chapter,Movie,1.0,Finished Airing,2005,Madhouse,Manga,Adventure,Martial Arts,Shounen,92.0,R - 17+ (violence & profanity),7.051,9827.0
831,Tokyo Mew Mew,Mew Mew Power,TV,52.0,Finished Airing,2002,Pierrot,Manga,Comedy,Mahou Shoujo,Shoujo,24.0,PG-13 - Teens 13 or older,7.051,69805.0
832,Tsugumomo,Tsugumomo,TV,12.0,Finished Airing,2017,Zero-G,Manga,Action,School,Seinen,24.0,R+ - Mild Nudity,7.051,73373.0
833,Shuffle!,Shuffle!,TV,24.0,Finished Airing,2005,asread.,Visual novel,Comedy,Harem,Seinen,24.0,R+ - Mild Nudity,7.041,131307.0
834,Taiho Shichau zo Special,You're Under Arrest Mini Specials,TV,20.0,Finished Airing,1999,Studio Deen,Manga,Action,Adult Cast,Shounen,8.0,PG-13 - Teens 13 or older,7.041,2238.0
835,Yami no Matsuei,Descendants of Darkness,TV,13.0,Finished Airing,2000,J.C.Staff,Manga,Boys Love,Vampire,Shoujo,23.0,R - 17+ (violence & profanity),7.041,23511.0
836,11-nin Iru!,They Were Eleven,Movie,1.0,Finished Airing,1986,Magic Bus,Manga,Action,Space,Shoujo,91.0,PG-13 - Teens 13 or older,7.041,4383.0
837,Hayate no Gotoku! Can't Take My Eyes Off You,Hayate the Combat Butler Can't Take My Eyes Off You,TV,12.0,Finished Airing,2012,Manglobe,Manga,Comedy,Harem,Shounen,24.0,PG-13 - Teens 13 or older,7.031,25145.0
838,Hiatari Ryoukou!,Sunny Ryoko,TV,48.0,Finished Airing,1987,Group TAC,Manga,Comedy,School,Shoujo,25.0,PG-13 - Teens 13 or older,7.031,1005.0
839,Kyattou Ninden Teyandee,Samurai Pizza Cats,TV,54.0,Finished Airing,1990,Tatsunoko Production,Original,Action,Anthropomorphic,Shounen,24.0,G - All Ages,7.031,5350.0
840,Medaka Box,Medaka Box,TV,12.0,Finished Airing,2012,Gainax,Manga,Action,Martial Arts,Shounen,24.0,PG-13 - Teens 13 or older,7.031,102967.0
841,Taiho Shichau zo: Nagisa no Koutsuu Yuudou,You're Under Arrest Diverting Traffic at the Beach,Special,1.0,Finished Airing,1997,Studio Deen,Manga,Action,Adult Cast,Seinen,24.0,PG-13 - Teens 13 or older,7.031,1990.0
842,Tenjou Tenge: The Ultimate Fight,Tenjho Tenge The Ultimate Fight,OVA,2.0,Finished Airing,2005,Madhouse,Manga,Adventure,Martial Arts,Shounen,24.0,R - 17+ (violence & profanity),7.031,22611.0
843,Tokyo Ghoul √A,Tokyo Ghoul √A,TV,12.0,Finished Airing,2015,Pierrot,Manga,Action,Gore,Seinen,24.0,R - 17+ (violence & profanity),7.031,110964.0
844,Uta no☆Prince-sama♪ Maji Love 1000%,Uta no Prince Sama,TV,13.0,Finished Airing,2011,A-1 Pictures,Visual novel,Comedy,Idols (Male),Shoujo,25.0,PG-13 - Teens 13 or older,7.031,93842.0
